clade_name,SRR30598618,SRR30598619,SRR30598620,SRR30598621,SRR30598622,SRR30598623,SRR30598624,SRR30598625,SRR30598626,SRR30598627,SRR30598628,SRR30598629,SRR30598630,SRR30598631,SRR30598633,SRR30598634,SRR30598635,SRR30598636,SRR30598637,SRR30598638,SRR30598639,SRR30598640,SRR30598641,SRR30598642,SRR30598643,SRR30598644,SRR30598645,SRR30598646,SRR30598647,SRR30598648,SRR30598650,SRR30598651,SRR30598652,SRR30598653,SRR30598654,SRR30598655,SRR30598656
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces johnsonii|t__GCF_006546835.1,0,0.0044,0,0.0104,0,0,0,0.0121,0,0,0.0074,0,0.0215,0,0,0,0,0,0,0,0,0,0,0,0.011,0,0,0,0,0,0,0,0,0,0,0.0172,0.0044
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces massiliensis,0,0,0,0.004,0,0.0051,0.0146,0.0037,0,0,0,0.0023,0.0088,0,0,0,0,0.002,0.0197,0,0,0,0,0,0.0105,0,0.0023,0,0,0,0.0046,0,0,0,0,0,0.0012
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces massiliensis|t__GCF_000269805.1,0,0,0,0.004,0,0.0051,0.0146,0.0037,0,0,0,0.0023,0.0088,0,0,0,0,0.002,0.0197,0,0,0,0,0,0.0105,0,0.0023,0,0,0,0.0046,0,0,0,0,0,0.0012
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces naeslundii,0.003,0.0111,0,0,0.02,0.0042,0.0426,0.0318,0.0053,0,0,0,0.033,0,0,0,0,0.0031,0.0159,0.0138,0,0.0442,0.0108,0.0032,0.1203,0.0044,0.004,0.006,0,0.0029,0.01,0,0,0.0277,0,0.0454,0.0146
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces naeslundii|t__GCF_001956585.1,0.003,0.0111,0,0,0.02,0.0042,0.0426,0.0318,0.0053,0,0,0,0.033,0,0,0,0,0.0031,0.0159,0.0138,0,0.0442,0.0108,0.0032,0.1203,0.0044,0.004,0.006,0,0.0029,0.01,0,0,0.0277,0,0.0454,0.0146
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces oris,0,0,0,0,0,0,0,0.0398,0.0087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0146,0,0,0,0.0029,0,0,0,0,0,0.0083,0.0016
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces oris_A,0,0,0,0.005,0,0,0.0654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0222,0.0038,0,0,0,0,0,0,0,0,0,0
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces oris_A|t__GCF_001553935.1,0,0,0,0.005,0,0,0.0654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0222,0.0038,0,0,0,0,0,0,0,0,0,0
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces oris_C,0,0,0,0,0,0,0.0547,0,0.0073,0,0,0,0.0184,0,0,0,0.0046,0.0028,0.0088,0,0,0.0105,0,0.003,0.0226,0,0.0019,0.0051,0,0,0,0,0,0,0,0,0.0066
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces oris_C|t__GCF_001937445.1,0,0,0,0,0,0,0.0547,0,0.0073,0,0,0,0.0184,0,0,0,0.0046,0.0028,0.0088,0,0,0.0105,0,0.003,0.0226,0,0.0019,0.0051,0,0,0,0,0,0,0,0,0.0066
