"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"PWY-5505: L-glutamate and L-glutamine biosynthesis"	"sick"	"SM"	"sickSM"	-1.57669809715172	0.575662398280218	0.760781532026322	0.0080239981500414	0.0306723800251583	0.0080239981500414	0.0226375366802844	NA	"abundance"	37	37
"PPGPPMET-PWY: ppGpp metabolism"	"sick"	"SM"	"sickSM"	-0.84898329896985	0.575662398280218	0.50179519141965	0.00828075513590099	0.0313171111788596	0.00828075513590099	0.0232321185757222	NA	"abundance"	37	37
"PWY-7332: superpathway of UDP-N-acetylglucosamine-derived O-antigen building blocks biosynthesis"	"sick"	"SM"	"sickSM"	-1.34989780615468	0.575662398280218	0.658715245891464	0.00824074523390383	0.0313171111788596	0.0164135805857976	0.0410339514644939	NA	"abundance"	37	24
"NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I"	"sick"	"SM"	"sickSM"	0.115730116793614	0.575662398280218	0.14314272607551	0.00894168771335813	0.0336377775883472	0.00894168771335813	0.0249478027361649	NA	"abundance"	37	37
"TCA-GLYOX-BYPASS: superpathway of glyoxylate bypass and TCA"	"sick"	"SM"	"sickSM"	2.55217366476845	0.575662398280218	0.71250746665984	0.00940817254019422	0.0352063719793584	0.0187278313698424	0.0461344138622946	NA	"abundance"	37	35
"PWY-7409: phospholipid remodeling (phosphatidylethanolamine, yeast)"	"sick"	"SM"	"sickSM"	3.55445885749963	0.575662398280218	1.066065397012	0.009837167374109	0.0364282604322474	0.009837167374109	0.027146281551503	NA	"abundance"	37	28
"RHAMCAT-PWY: L-rhamnose degradation I"	"sick"	"SM"	"sickSM"	0.0336545222486819	0.575662398280218	0.180886458688189	0.00980502694363494	0.0364282604322474	0.00980502694363494	0.027146281551503	NA	"abundance"	37	37
"PWY-4041: &gamma;-glutamyl cycle"	"sick"	"SM"	"sickSM"	1.48403196870607	0.575662398280218	0.322425866675069	0.0100340786957793	0.0369649220347104	0.0100340786957793	0.027539183377003	NA	"abundance"	37	37
"PWY-7356: thiamine diphosphate salvage IV (yeast)"	"sick"	"SM"	"sickSM"	-1.45784521472615	0.575662398280218	0.741861466655026	0.0101250655404658	0.0371078432952122	0.0201476141287328	0.0484502149286194	NA	"abundance"	37	36
"PWY-6545: pyrimidine deoxyribonucleotides de novo biosynthesis III"	"sick"	"SM"	"sickSM"	-0.247612955014889	0.575662398280218	0.290604825582456	0.0102171287688848	0.0372532233573185	0.0102171287688848	0.0278900001529018	NA	"abundance"	37	37
"PWY0-1277: 3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation"	"sick"	"SM"	"sickSM"	2.96901402473817	0.575662398280218	0.882850020266375	0.0108329414334978	0.0392970477511067	0.021548530246894	0.0510892383787861	NA	"abundance"	37	35
"PWY-6572: chondroitin sulfate degradation I (bacterial)"	"sick"	"SM"	"sickSM"	2.14289909716853	0	0.844041358711855	0.0111215728293119	0.0401392806174658	0.0221194562764261	0.0519550019516055	NA	"prevalence"	37	26
"ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation"	"sick"	"SM"	"sickSM"	3.01250981415941	0.575662398280218	0.903276861463948	0.0112420874206212	0.0401664530455359	0.0223577903116694	0.0520308023382169	NA	"abundance"	37	35
"ORNARGDEG-PWY: superpathway of L-arginine and L-ornithine degradation"	"sick"	"SM"	"sickSM"	3.01250981415941	0.575662398280218	0.903276861463948	0.0111900531388098	0.0401664530455359	0.0222548889883703	0.0520308023382169	NA	"abundance"	37	35
"GLUDEG-I-PWY: GABA shunt"	"sick"	"SM"	"sickSM"	1.7649309486678	0.575662398280218	0.437627134703071	0.011479395339709	0.0404051984481836	0.011479395339709	0.0306724584473706	NA	"abundance"	37	37
"ORNDEG-PWY: superpathway of ornithine degradation"	"sick"	"SM"	"sickSM"	1.87576709919906	0.575662398280218	0.483388649326852	0.0120972701573261	0.0423702417825559	0.0120972701573261	0.0321532706813141	NA	"abundance"	37	37
"PWY-6471: peptidoglycan biosynthesis IV (Enterococcus faecium)"	"sick"	"SM"	"sickSM"	2.70550538712406	0	1.08300787849611	0.0124846849474581	0.0435127990080524	0.0248135025366789	0.0567005374706916	NA	"prevalence"	37	20
"PWY-6901: superpathway of glucose and xylose degradation"	"sick"	"SM"	"sickSM"	1.16220311680976	0.575662398280218	0.206426796381234	0.0125887273025227	0.0436613907907007	0.0125887273025227	0.0332843313496019	NA	"abundance"	37	37
"P105-PWY: TCA cycle IV (2-oxoglutarate decarboxylase)"	"sick"	"SM"	"sickSM"	1.95523627438968	0.575662398280218	0.522637855469484	0.0133029418764656	0.0459145226901314	0.0133029418764656	0.0348354465161785	NA	"abundance"	37	37
